aa,kepCode,kepTitle,area,county,region,address,tk,phoneNumber,fax,email,comments
869,886,ΚΕΠ ΔΗΜΟΥ ΑΜΦΙΛΟΧΙΑΣ Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΑΜΦΙΛΟΧΙΑ Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΟΜΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΓΕΩΡΓΙΟΥ ΣΤΡΑΤΟΥ 5,30500,2642029330 2642029331 2642029333 2642029334,2642029332,d.amfilohias@kep.gov.gr,
870,887,ΚΕΠ ΔΗΜΟΥ ΑΝΑΚΤΟΡΙΟΥ Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΒΟΝΙΤΣΑ,ΝΟΜΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΠΛΑΤΕΙΑ ΑΝΑΚΤΟΡΙΟΥ,30002,2643029045,2643023927,d.anaktoriou@kep.gov.gr,
871,888,ΚΕΠ ΔΗΜΟΥ ΙΝΑΧΟΥ Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΜΑΛΕΣΙΑΔΑ,ΝΟΜΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΜΑΛΕΣΙΑΔΑ -,30017,2647051006,2647051086,d.inahou@kep.gov.gr,
1071,889,ΚΕΠ ΔΗΜΟΥ ΞΗΡΟΜΕΡΟΥ Δ.Ε. ΦΥΤΕΙΩΝ,,,Δυτικής Ελλάδος,ΦΥΤΕΙΕΣ,30009,(26460) 22176,2646022206,,
872,890,ΚΕΠ ΔΗΜΟΥ ΧΑΛΚΕΙΑΣ Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΧΑΛΚΕΙΑ Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΟΜΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΓΑΛΑΤΑΣ,30014,2631041491,2631041491,d.halkeias@kep.gov.gr,
873,891,ΚΕΠ ΔΗΜΟΥ ΑΡΟΑΝΙΑΣ Ν. ΑΧΑΙΑΣ,ΤΡΙΠΟΤΑΜΑ (ΨΩΦΙΔΑ),ΝΟΜΟΣ ΑΧΑΪΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΤΡΙΠΟΤΑΜΑ (ΨΩΦΙΔΑ),20516,2692082288 2692051301,2692051300,d.aroanias@kep.gov.gr,
874,892,ΚΕΠ ΔΗΜΟΥ ΛΑΡΙΣΣΟΥ Ν. ΑΧΑΙΑΣ,ΛΑΠΠΑ ΑΧΑΪΑΣ,ΝΟΜΟΣ ΑΧΑΪΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΛΑΠΠΑ ΑΧΑΪΑΣ -,27052,2693031877,2693031878,d.larissou@kep.gov.gr,
875,893,ΚΕΠ ΔΗΜΟΥ ΛΕΥΚΑΣΙΟΥ Ν. ΑΧΑΙΑΣ,ΚΛΕΙΤΟΡΙΑ Ν. ΑΧΑΙΑΣ,ΝΟΜΟΣ ΑΧΑΪΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΚΛΕΙΤΟΡΙΑ Ν. ΑΧΑΙΑΣ,,2692032755,2692032765,d.lefkasiou@kep.gov.gr,
876,894,ΚΕΠ ΔΗΜΟΥ ΜΕΣΣΑΤΙΔΟΣ Ν. ΑΧΑΙΑΣ,ΜΕΣΣΑΤΙΔΟΣ Ν. ΑΧΑΙΑΣ,ΝΟΜΟΣ ΑΧΑΪΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΟΒΡΥΑ ΠΑΤΡΩΝ,26500,2610526818,2610526818,d.messatidos@kep.gov.gr,
877,895,ΚΕΠ ΔΗΜΟΥ ΠΑΡΑΛΙΑΣ Ν. ΑΧΑΙΑΣ,ΠΑΡΑΛΙΑ ΠΑΤΡΩΝ,ΝΟΜΟΣ ΑΧΑΪΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΠΑΤΡΩΝ ΠΥΡΓΟΥ 60,26333,2610528316,2610528971,d.paralias-ahaias@kep.gov.gr,
878,896,ΚΕΠ ΔΗΜΟΥ ΣΥΜΠΟΛΙΤΕΙΑΣ Ν. ΑΧΑΙΑΣ,"ΣΥΜΠΟΛΙΤΕΙΑ , ΑΙΓΙΟΥ",ΝΟΜΟΣ ΑΧΑΪΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΣΕΛΙΑΝΙΤΙΚΑ -,25100,2691072110,2691073026,D.SYMPOLITEIAS@KEP.GOV.GR,
879,897,ΚΕΠ ΔΗΜΟΥ ΩΛΕΝΕΙΑΣ,,ΝΟΜΟΣ ΑΧΑΪΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΛΟΥΣΙΚΑ,252 00,"2693360400 , 2693061202",,,
880,898,ΚΕΠ ΔΗΜΟΥ ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ Ν. ΗΛΕΙΑΣ,ΑΡΧΑΙΑ ΟΛΥΜΠΙΑ,ΝΟΜΟΣ ΗΛΕΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΠΡΑΞΙΤΕΛΟΥΣ ΚΟΝΔΥΛΗ -,27065,2624029011,2624023893,d.arholympias@kep.gov.gr,
881,899,ΚΕΠ ΔΗΜΟΥ ΛΑΜΠΕΙΑΣ Ν. ΗΛΕΙΑΣ,ΛΑΜΠΕΙΑ Ν. ΗΛΕΙΑΣ,ΝΟΜΟΣ ΗΛΕΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΛΑΜΠΕΙΑ Ν. ΗΛΕΙΑΣ,27063,2624081902,2624081903,d.labeias@kep.gov.gr,
882,900,ΚΕΠ ΔΗΜΟΥ ΠΗΝΕΙΑΣ Ν. ΗΛΕΙΑΣ,ΠΗΝΕΙΑ Ν. ΗΛΕΙΑΣ,ΝΟΜΟΣ ΗΛΕΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΠΗΝΕΙΑ Ν. ΗΛΕΙΑΣ -,27069,2622032810 2622032811,2622032812,d.pineias@kep.gov.gr,
883,901,ΚΕΠ ΔΗΜΟΥ ΦΙΓΑΛΕΙΑΣ Ν. ΗΛΕΙΑΣ,ΝΕΑ ΦΙΓΑΛΕΙΑ,ΝΟΜΟΣ ΗΛΕΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΝΕΑ ΦΙΓΑΛΕΙΑ,27056,2625041920,2625041910,d.figaleias@kep.gov.gr,
884,902,ΚΕΠ ΔΗΜΟΥ ΦΟΛΟΗΣ Ν. ΗΛΕΙΑΣ,ΛΑΛΑ Ν.ΗΛΕΙΑΣ,ΝΟΜΟΣ ΗΛΕΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΛΑΛΑ Ν. ΗΛΕΙΑΣ,27066,2624042404,2624042405,d.folois@kep.gov.gr,
885,903,ΚΕΠ ΔΗΜΟΥ ΩΛΕΝΗΣ Ν. ΗΛΕΙΑΣ,Δ.Δ. ΚΑΡΑΤΟΥΛΑ,ΝΟΜΟΣ ΗΛΕΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,Δ.Δ. ΚΑΡΑΤΟΥΛΑ,27064,2621062560,2621062561,d.olenis@kep.gov.gr,
886,904,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΑΒΔΕΛΛΑΣ Ν. ΓΡΕΒΕΝΩΝ,ΑΒΔΕΛΛΑ - ΧΕΙΜΕΡΙΝΗ ΕΔΡΑ:ΤΥΡΝΑΒΟΣ ΛΑΡΙΣΑΣ,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΤΟΝ ΤΥΡΝΑΒΟ: ΠΟΛΥΤΕΧΝΕΙΟΥ 56,5100,2492029025 2462025653,2462025653,k.avdelas@kep.gov.gr,
887,905,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΔΟΤΣΙΚΟΥ Ν. ΓΡΕΒΕΝΩΝ,ΚΟΙΝΟΤΗΤΑ ΔΟΤΣΙΚΟΥ Ν. ΓΡΕΒΕΝΩΝ,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΙΝΟΤΗΤΑ ΔΟΤΣΙΚΟΥ Ν. ΓΡΕΒΕΝΩΝ -,-,-,-,k.dotsikou@kep.gov.gr,
888,906,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΣΑΜΑΡΙΝΗΣ Ν. ΓΡΕΒΕΝΩΝ,ΚΟΙΝΟΤΗΤΑ ΣΑΜΑΡΙΝΗΣ Ν. ΓΡΕΒΕΝΩΝ,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΙΝΟΤΗΤΑ ΣΑΜΑΡΙΝΗΣ Ν. ΓΡΕΒΕΝΩΝ -,51100,2462095638,2462095639,k.samarinis@kep.gov.gr,
889,907,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΣΜΙΞΗΣ Ν. ΓΡΕΒΕΝΩΝ,ΚΟΙΝΟΤΗΤΑ ΣΜΙΞΗΣ Ν. ΓΡΕΒΕΝΩΝ,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΙΝΟΤΗΤΑ ΣΜΙΞΗΣ Ν. ΓΡΕΒΕΝΩΝ -,51032,2492026420 2462024568,2492024420,k.smixis@kep.gov.gr,
890,908,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΦΙΛΙΠΠΑΙΩΝ Ν. ΓΡΕΒΕΝΩΝ,ΚΟΙΝΟΤΗΤΑ ΦΙΛΙΠΠΑΙΩΝ Ν. ΓΡΕΒΕΝΩΝ,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,Γ. ΜΠΟΥΣΙΟΥ 6,51100,2462087295 2462087296 2462085360,2462022084,k.filippaion@kep.gov.gr,
891,909,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΑΡΡΕΝΩΝ Ν. ΚΑΣΤΟΡΙΑΣ,KOINOTHTA ΑΡΡΕΝΩΝ,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΕΠΤΑΧΩΡΙ ΚΑΣΤΟΡΙΑΣ,50007,2467084645,2467084647,k.arrenon@kep.gov.gr,
892,911,ΚΕΠ ΔΗΜΟΥ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ Ν. ΚΟΖΑΝΗΣ,ΠΤΟΛΕΜΑΙΔΑ,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΑΓΙΟΣ ΧΡΙΣΤΟΦΟΡΟΣ -,50200,2463051631 2463051044,2463051144,d.agparaskevis-kozanis@kep.gov.gr,
1072,912,ΚΕΠ ΔΗΜΟΥ ΣΕΡΒΙΩΝ - ΒΕΛΒΕΝΤΟΥ Δ.Ε. ΛΙΒΑΔΕΡΟΥ,,,Δυτικής Μακεδονίας,ΚΟΙΝΟΤΙΚΟ ΓΡΑΦΕΙΟ,50500,2464041254,2464041500,,
893,913,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΠΕΝΤΑΛΟΦΟΥ,Π,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΔΗΜΟΣ ΠΕΝΤΑΛΟΦΟΥ,50007,2468041158,,k.pentalofou@kep.gov.gr,
894,914,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΒΑΡΙΚΟΥ Ν. ΦΛΩΡΙΝΑΣ,ΚΟΙΝΟΤΗΤΑ ΒΑΡΙΚΟΥ Ν. ΦΛΩΡΙΝΑΣ,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΙΝΟΤΗΤΑ ΒΑΡΙΚΟΥ Ν. ΦΛΩΡΙΝΑΣ,50005,2463094040,2463094039,k.varikou@kep.gov.gr,
895,915,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΚΡΥΣΤΑΛΛΟΠΗΓΗΣ Ν. ΦΛΩΡΙΝΑΣ,ΚΟΙΝΟΤΗΤΑΣ ΚΡΥΣΤΑΛΛΟΠΗΓΗΣ Ν. ΦΛΩΡΙΝΑΣ,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΡΥΣΤΑΛΛΟΠΗΓΗΣ,53077,2385044948,2385044949,k.krystallopigis@kep.gov.gr,
896,916,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΛΕΧΟΒΟΥ Ν. ΦΛΩΡΙΝΑΣ,ΚΟΙΝΟΤΗΤΑ ΛΕΧΟΒΟΥ Ν. ΦΛΩΡΙΝΑΣ,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΙΝΟΤΗΤΑ ΛΕΧΟΒΟΥ Ν. ΦΛΩΡΙΝΑΣ,53073,2386071205 2386071355,2386071205,k.lehovou@kep.gov.gr,
897,917,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΘΕΟΔΩΡΙΑΝΩΝ Ν. ΑΡΤΑΣ,ΘΕΟΔΩΡΙΑΝΑ ΑΡΤΑΣ,ΝΟΜΟΣ ΑΡΤΑΣ,ΗΠΕΙΡΟΥ,ΘΕΟΔΩΡΙΑΝΑ ΑΡΤΑΣ -,47045,2685024616,2685024617,k.theodorianon@kep.gov.gr,
898,918,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΑΕΤΟΜΗΛΙΤΣΗΣ Ν. ΙΩΑΝΝΙΝΩΝ,ΚΟΙΝΟΤΗΤΑΣ ΑΕΤΟΜΗΛΙΤΣΗΣ,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,ΑΕΤΟΜΗΛΙΤΣΑΣ,44015,2655031170 - 2410622061,2655031063,k.aetomilitsis@kep.gov.gr,
899,919,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΒΟΒΟΥΣΗΣ Ν. ΙΩΑΝΝΙΝΩΝ,ΚΟΙΝΟΤΗΤΑ ΒΟΒΟΥΣΗΣ Ν. ΙΩΑΝΝΙΝΩΝ,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,ΚΟΙΝΟΤΗΤΑ ΒΟΒΟΥΣΗΣ Ν. ΙΩΑΝΝΙΝΩΝ,44014,2656022003 2656022621,2656022621,k.vovousis@kep.gov.gr,
900,920,ΚΕΠ ΔΗΜΟΥ ΣΕΛΛΩΝ Ν. ΙΩΑΝΝΙΝΩΝ,ΠΥΡΓΙΑ Ν. ΙΩΑΝΝΙΝΩΝ,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,ΤΥΡΙΑ ΜΠΑΟΥΣΙΩΝ,45500,2651084303,2651084313,d.sellon@kep.gov.gr,
901,921,ΚΕΠ ΔΗΜΟΥ ΤΥΜΦΗΣ Ν. ΙΩΑΝΝΙΝΩΝ,ΤΣΕΠΕΛΟΒΟ,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,ΤΣΕΠΕΛΟΒΟ -,44010,2653081044,2653081045,d.tymfis@kep.gov.gr,
902,922,ΚΕΠ ΔΗΜΟΥ ΑΡΝΗΣ Ν. ΚΑΡΔΙΤΣΑΣ,ΜΑΤΑΡΑΓΚΑ ΚΑΡΔΙΤΣΑΣ,ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,ΜΑΤΑΡΑΓΚΑ -,43300,2443041764,2443041894,d.arnis@kep.gov.gr,
903,923,ΚΕΠ ΔΗΜΟΥ ΜΕΝΕΛΑΪΔΑΣ Ν. ΚΑΡΔΙΤΣΑΣ,ΚΕΔΡΟΣ ΜΕΝΕΛΑΪΔΑΣ,ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,ΚΕΔΡΟΣ ΜΕΝΕΛΑΪΔΑΣ,43300,2443051540,2443051560,d.menelaidas@kep.gov.gr,
904,924,ΚΕΠ ΔΗΜΟΥ ΕΝΙΠΠΕΑ Ν. ΛΑΡΙΣΑΣ,ΣΤΑΥΡΟΣ ΔΗΜΟΥ ΕΝΙΠΠΕΑ Ν. ΛΑΡΙΣΑΣ,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,ΘΕΣΣΑΛΙΑΣ,ΣΤΑΥΡΟΣ ΔΗΜΟΥ ΕΝΙΠΠΕΑ Ν. ΛΑΡΙΣΑΣ -,40300,2491031125,2491031132,d.enippea@kep.gov.gr,
905,925,ΚΕΠ ΔΗΜΟΥ ΕΥΡΥΜΕΝΩΝ Ν. ΛΑΡΙΣΑΣ,ΟΜΟΛΙΟ ΛΑΡΙΣΑΣ,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,ΘΕΣΣΑΛΙΑΣ,ΟΜΟΛΙΟ ΛΑΡΙΣΑΣ -,40007,2495094163,2495094164,d.evrimenon-larisas@kep.gov.gr,
906,926,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΒΕΡΔΙΚΟΥΣΗΣ Ν. ΛΑΡΙΣΑΣ,ΚΟΙΝΟΤΗΤΑ ΒΕΡΔΙΚΟΥΣΗΣ Ν. ΛΑΡΙΣΑΣ,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,ΘΕΣΣΑΛΙΑΣ,ΚΟΙΝΟΤΗΤΑ ΒΕΡΔΙΚΟΥΣΗΣ Ν. ΛΑΡΙΣΑΣ,40005,2492081064,2492081149,k.verdikousis@kep.gov.gr,
907,927,ΚΕΠ ΔΗΜΟΥ ΚΡΑΝΝΩΝΟΣ Ν. ΛΑΡΙΣΑΣ,ΑΓ.ΑΝΑΡΓΥΡΟΙ,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,ΘΕΣΣΑΛΙΑΣ,ΑΓ.ΑΝΑΡΓΥΡΟΙ -,41500,2410751036,2410751380,d.krannonos@kep.gov.gr,
908,928,ΚΕΠ ΔΗΜΟΥ ΠΟΤΑΜΙΑΣ Ν. ΛΑΡΙΣΑΣ,ΔΗΜ.ΔΙΑΜΕΡΙΣΜΑ ΜΕΣΟΧΩΡΙΟΥ,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,ΘΕΣΣΑΛΙΑΣ,ΔΗΜ.ΔΙΑΜΕΡΙΣΜΑ ΜΕΣΟΧΩΡΙΟΥ -,40100,2492091845,2492091847,d.potamias-larisas@kep.gov.gr,
909,929,ΚΕΠ ΔΗΜΟΥ ΖΑΓΟΡΑΣ Ν. ΜΑΓΝΗΣΙΑΣ,ΖΑΓΟΡΑ Ν. ΜΑΓΝΗΣΙΑΣ,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,ΖΑΓΟΡΑ Ν. ΜΑΓΝΗΣΙΑΣ,37001,2426023743,2426023744,d.zagoras@kep.gov.gr,
910,931,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΝΕΡΑΙΔΑΣ Ν. ΤΡΙΚΑΛΩΝ,ΚΟΙΝΟΤΗΤΑ ΝΕΡΑΙΔΑΣ Ν. ΤΡΙΚΑΛΩΝ,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,ΘΕΣΣΑΛΙΑΣ,ΚΟΙΝΟΤΗΤΑ ΝΕΡΑΙΔΑΣ Ν. ΤΡΙΚΑΛΩΝ,42037,2434032019 2434032010,2434032010,k.neraidas@kep.gov.gr,
911,932,ΚΕΠ ΔΗΜΟΥ ΤΥΜΦΑΙΩΝ Ν. ΤΡΙΚΑΛΩΝ,ΚΟΝΙΣΚΟΣ,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,ΘΕΣΣΑΛΙΑΣ,ΚΟΝΙΣΚΟΣ -,42200,2432092170,2432092233,d.tymfaion@kep.gov.gr,
912,933,ΚΕΠ ΔΗΜΟΥ ΚΕΡΚΥΡΑΙΩΝ Ν. ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑ,ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,ΣΟΛΩΜΟΥ 11,49100,2661045083,2661045032,d.kerkiraion@kep.gov.gr,
1073,935,ΚΕΠ ΔΗΜΟΥ ΚΕΦΑΛΛΟΝΙΑΣ - Δ.Ε. ΟΜΑΛΩΝ,,,Ιονίων Νήσων,Κοινότητα Ομαλών,28100,(26710) 86078,(26710) 86241,,
913,936,ΚΕΠ ΔΗΜΟΥ ΑΛΕΞΑΝΔΡΕΙΑΣ Ν. ΗΜΑΘΙΑΣ,ΑΛΕΞΑΝΔΡΕΙΑ Ν. ΗΜΑΘΙΑΣ,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΒΕΤΣΟΠΟΥΛΟΥ 6,59300,2333350204 2333350205 2333350206 2333350207,2333022587,d.alexandreias@kep.gov.gr,
914,937,ΚΕΠ ΔΗΜΟΥ ΑΝΘΕΜΙΩΝ Ν. ΗΜΑΘΙΑΣ,ΚΟΠΑΝΟΣ,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΕΡΜΟΥ 36,59035,2332043241 2332043244,2332043133,d.anthemion@kep.gov.gr,
915,938,ΚΕΠ ΔΗΜΟΥ ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ Ν. ΗΜΑΘΙΑΣ,ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ - ΜΑΚΡΟΧΩΡΙ,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΑΡΙΣΤΟΤΕΛΟΥΣ 228,59033,2331042343 2331042282,2331042199,d.apostpavlou@kep.gov.gr,
916,939,ΚΕΠ ΔΗΜΟΥ ΒΕΡΓΙΝΑΣ Ν. ΗΜΑΘΙΑΣ,ΒΕΡΓΙΝΑ,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΒΕΡΓΙΝΑ,59031,2331092570,2331092569,d.verginas@kep.gov.gr,
917,940,ΚΕΠ ΔΗΜΟΥ ΕΙΡΗΝΟΥΠΟΛΗΣ Ν. ΗΜΑΘΙΑΣ,ΕΙΡΗΝΟΥΠΟΛΗ,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΕΙΡΗΝΟΥΠΟΛΗ,59034,2332052978,2332052979,d.eirinoupolis@kep.gov.gr,
918,941,ΚΕΠ ΔΗΜΟΥ ΜΕΛΙΚΗΣ Ν. ΗΜΑΘΙΑΣ,ΠΛ. ΔΗΜΑΡΧΕΙΟΥ ΜΕΛΙΚΗΣ,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΛ. ΔΗΜΑΡΧΕΙΟΥ ΜΕΛΙΚΗΣ,59031,2331082308,2331082318,d.melikis@kep.gov.gr,
919,942,ΚΕΠ ΔΗΜΟΥ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ,ΒΡΑΣΝΑ ΘΕΣ/ΝΙΚΗΣ,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΒΡΑΣΝΑ ΘΕΣ/ΝΙΚΗΣ,57021,2397021710,2397025999,d.aggeorgiou-thessalonikis@kep.gov.gr,
920,943,ΚΕΠ ΔΗΜΟΥ ΑΞΙΟΥ Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ,KYMINA,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,KYMINA,57600,2391043214,2391043219,d.axiou@kep.gov.gr,
921,944,ΚΕΠ ΔΗΜΟΥ ΑΠΟΛΛΩΝΙΑΣ Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ,ΝΕΑ ΑΠΟΛΛΩΝΙΑ,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,- -,57015,2393041008,2393041865,d.apollonias@kep.gov.gr,
922,945,ΚΕΠ ΔΗΜΟΥ ΑΡΕΘΟΥΣΑΣ Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ,"ΑΡΕΘΟΥΣΑ, Δ.Δ. ΞΗΡΟΠΟΤΑΜΟΥ",ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,"ΑΡΕΘΟΥΣΑ, Δ.Δ. ΞΗΡΟΠΟΤΑΜΟΥ",57002,2395091262,2395091262,d.arethousas@kep.gov.gr,
923,946,ΚΕΠ ΔΗΜΟΥ ΒΑΣΙΛΙΚΩΝ Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ,ΒΑΣΙΛΙΚΑ,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΒΑΣΙΛΙΚΑ -,57006,2396024040,2396024041,d.vasilikon@kep.gov.gr,
924,947,ΚΕΠ ΔΗΜΟΥ ΕΧΕΔΩΡΟΥ Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ,ΕΧΕΔΩΡΟΥ ΘΕΣ/ΝΙΚΗΣ,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΑΠΑΝΑΣΤΑΣΙΟΥ 6,57400,2310795074,2310795073,d.ehedorou@kep.gov.gr,
